"","lon","lat"
"253",-74.0059728,40.7127753
"254",-81.4503924,41.6539359
"255",-95.712891,37.09024
"256",-96.7969879,32.7766642
"257",-97.7430608,30.267153
"258",-95.3698028,29.7604267
"259",-119.4179324,36.778261
"260",-90.0715323,29.9510658
"261",-87.6297982,41.8781136
"262",-121.7405167,38.5449065
"263",-95.7243335,37.2321077
"264",-81.6059541,40.2722922
"265",-73.9663536,40.7128324
"266",-78.8783585,35.0526641
"267",-122.2711137,37.8043637
"268",-87.9064736,43.0389025
"269",-106.346771,56.130366
"270",-86.158068,39.768403
"271",-82.9000751,32.1656221
"272",-82.47129,36.2937018
"273",-87.6297982,41.8781136
"274",-88.7878678,43.7844397
"275",-88.7878678,43.7844397
"276",-74.2179326,43.2994285
"277",-119.4179324,36.778261
"278",-73.567256,45.5016889
"279",-118.2436849,34.0522342
"280",-119.0592705,34.3541659
"281",-79.5394625,43.8430176
"282",-81.3792365,28.5383355
"283",-104.990251,39.7392358
"284",-104.990251,39.7392358
"285",-121.9552356,37.3541079
"286",-84.3879824,33.7489954
"287",-79.3831843,43.653226
"288",-123.2874375,44.5643351
"289",-75.5276699,38.9108325
"290",0.4690888,51.7343313
"291",-93.2650108,44.977753
"292",-89.3985283,40.6331249
"293",-97.092877,35.0077519
"294",-75.977985,36.8529263
"295",-122.4194155,37.7749295
"296",-77.0368707,38.9071923
"297",-80.1300455,25.790654
"298",-74.0059728,40.7127753
"299",-105.8700901,34.5199402
"300",-118.2436849,34.0522342
"301",-97.3307658,32.7554883
"302",-86.5804473,35.5174913
"303",-97.7430608,30.267153
"304",-81.470504,29.991676
"305",-97.7430608,30.267153
"306",-95.712891,37.09024
"307",-75.3704579,40.6259316
"308",-74.0059728,40.7127753
"309",-74.0059728,40.7127753
"310",-92.4001303,31.3382531
"311",-81.5102655,41.4323067
"312",-106.346771,56.130366
"313",-98.4936282,29.4241219
"314",-98.4936282,29.4241219
"315",-117.8370968,33.6446621
"316",-95.3654541,29.7559566
"317",-77.0368707,38.9071923
"318",-81.1637245,33.836081
"319",-81.1637245,33.836081
"320",-77.5275463,43.0789942
"321",-77.0368707,38.9071923
"322",-118.3617443,34.0900091
"323",-82.4571776,27.950575
"324",-71.3824374,42.4072107
"325",-122.2079218,47.4796927
"326",-105.2551187,54.5259614
"327",-4.2026458,56.4906712
"328",-118.3537676,34.1358566
"329",4.469936,50.503887
"330",-99.9018131,31.9685988
"331",-81.3792365,28.5383355
"332",-74.0059728,40.7127753
"333",-118.4003563,34.0736204
"334",-95.712891,37.09024
"335",-95.712891,37.09024
"336",-77.0368707,38.9071923
"337",-77.0368707,38.9071923
"338",-95.9946482,36.1583952
"339",-74.0215285,40.8570442
"340",-104.9719243,39.8680412
"341",-75.6971931,45.4215296
"342",-79.3831843,43.653226
"343",-75.2117904,39.8099873
"344",-75.2117904,39.8099873
"345",-75.2117904,39.8099873
"346",-98.5528425,29.5418178
"347",-97.9647269,29.5688411
"348",-119.4179324,36.778261
"349",-74.0059728,40.7127753
"350",-71.3824374,42.4072107
"351",-86.8103567,33.5185892
"352",-89.3985283,40.6331249
"353",-74.0059728,40.7127753
"354",-74.0059728,40.7127753
"355",-80.1917902,25.7616798
"356",-77.7199932,39.6417629
"357",-71.4774291,41.5800945
"358",-71.4774291,41.5800945
"359",-78.7625185,39.6528654
