"","long","lat"
"337",-104.9836,39.7391
"338",-80.1998659,25.7726578
"339",-87.73070887,43.771698
"340",-122.589292,45.47061
"341",-122.5372,45.536086
"342",-122.562,45.488972
"343",-122.677407,45.518392
"344",-122.705829,45.588354
"345",-122.745808,45.594952
"346",-122.548966,45.53316
"347",-122.618068,45.486983
"348",-122.676653,45.515116
"349",-122.742451,45.589819
"350",-122.706072,45.558849
"351",-122.716695,45.484568
"352",-122.730232,45.438018
"353",-122.641647,45.523097
"354",-122.537237,45.551679
"355",-122.563748,45.501775
"356",-122.750843,45.601985
"357",-122.578892,45.483159
"358",-122.613176,45.516946
"359",-122.642447,45.503108
"360",-122.619785,45.535289
"361",-122.689842,45.611527
"362",-122.666106,45.573163
"363",-122.692775,45.522102
"364",-122.653506,45.532582
"365",-122.64075,45.502103
"366",-122.523275,45.556241
"367",-122.644922,45.504596
"368",-122.640271,45.527798
"369",-122.616054,45.500774
"370",-122.673263,45.524229
"371",-122.706326,45.592707
"372",-122.581453,45.544023
"373",-122.659449,45.512722
"374",-122.511326,45.522434
"375",-122.495121,45.51256
"376",-122.61319,45.566185
"377",-122.733254,45.502435
"378",-122.559568,45.482571
"379",-122.690285,45.539303
"380",-122.747925,45.588801
"381",-122.622249,45.496984
"382",-122.570206,45.466901
"383",-122.520601,45.524129
"384",-122.604866,45.562705
"385",-122.4902,45.515326
"386",-122.674195,45.549796
"387",-122.513773,45.498437
"388",-122.558162,45.573063
"389",-122.554816,45.522449
"390",-122.681687,45.467259
"391",-122.492876,45.500717
"392",-122.651079,45.495421
"393",-122.685897,45.536583
"394",-122.594892,45.504263
"395",-122.66101,45.561851
"396",-122.686987,45.523225
"397",-93.47,44.58722222
"398",-79.9459924,32.8013133
"399",-90.0543,29.9165
"400",-117.41666667,33.33333333
"401",-73.991568,40.739382
"402",-118.18573358,33.78966838
"403",-72.2633145,44.60651574
"404",-96.46863,32.09696
"405",-82.14702289,28.01569476
"406",-79.76272382,32.87911119
"407",-77.582,39.7537
"408",-93.29574038,37.20775768
"409",-80.0762,42.1145
"410",-80.0762,42.1145
"411",-80.0762,42.1145
"412",-80.0762,42.1145
"413",-80.0762,42.1145
"414",-78.51043146,35.95055388
"415",-104.82791,38.83288
"416",-122.70771564,45.27950629
"417",-78.8494,42.9047
"418",-77.86700548,38.10553841
"419",-97.08148241,36.70247255
"420",-73.32601,40.69574
"421",-72.65124,41.56349
"422",-73.9675,40.7779
"423",-73.9675,40.7779
"424",-71.06491221,42.35437217
"425",-96.75798,35.98481
"426",-96.75798,35.98481
"427",-97.7232639,30.3975113
"428",-96.8200116,33.09828502
"429",-95.14474456,43.1270585
"430",-122.6989,45.53018
"431",-111.98019862,40.78553754
"432",-80.20659041,25.75610846
"433",-122.34505567,47.70637431
"434",-73.9448166,40.7155609
"435",-111.789,34.8599
"436",-85.64103652,38.09947972
"437",-104.9432,39.9126
"438",-108.507636,45.782429
"439",-122.862,42.332
"440",-122.862,42.332
"441",-75.2972,39.8883
"442",-93.20944444,37.02722222
"443",-76.7466965,39.3154411
"444",-73.0369,41.5583
"445",-79.06433,43.10664
"446",-76.88746222,42.40752309
"447",-97.1932,33.0005
"448",-85.66509541,30.18758221
"449",-81.30775452,28.43035481
"450",-85.7052474,33.15264646
"451",-87.63588487,41.87876823
"452",-82.293251,27.9344444
"453",-98.87194444,30.27416667
"454",-115.17144575,36.11621692
"455",-94.58514,39.04638
"456",-97.1303711,31.5506001
"457",-83.4153,41.1592
"458",-104.9229658,37.8326651
"459",-118.35412645,34.13831062
"460",-77.4564,37.5811
"461",-88.1136,43.0605
"462",-88.24908159,40.10076904
"463",-88.267448,30.6635326
"464",-82.4576,28.22654
"465",-73.98661,40.76344
"466",-117.24743233,32.74163935
"467",-73.94111111,40.68333333
"468",-92.26794,34.75754
"469",-122.871515,45.539184
"470",-96.7977,32.7774
"471",-80.16747,42.0925299
"472",-122.14231582,47.7051528
"473",-97.74031859,30.27942737
"474",-86.3384,41.9472
"475",-111.07427917,45.67070719
"476",-75.32121306,40.02314028
"477",-87.6156015,41.89388471
"478",-121.4947,38.577
"479",-94.22072,36.38591
"480",-77.03660488,38.89684467
"481",-76.6117,40.1472
"482",-78.8494,42.9047
"483",-87.64,41.95
"484",-80.3741728,25.7982604
"485",-80.3740858,25.7982546
"486",-80.3740858,25.7982546
"487",-110.8850949,32.2107257
"488",-73.6421,41.1939
"489",-75.31297894,40.08613028
"490",-75.0668523,39.92469992
"491",-104.8579,39.3724
"492",-95.567,30.1738
"493",-79.0556,35.913
"494",-76.6512,40.2784
"495",-93.3625,43.1444
"496",-73.97673575,40.68461674
"497",-76.39,36.87
"498",-78.79837,42.24916
"499",-118.243,34.0522
"500",-105.111,39.82
"501",-93.4461,38.31
"502",-96.78450464,33.08012017
"503",-96.7302371,43.5473579
"504",-97.0984,35.4122
"505",-74.0483,40.1949
"506",-112.356,33.6381
"507",-111.19399611,45.78020574
"508",-75.1448,39.998
"509",-74.151,40.7916
"510",-73.94516,40.80869
"511",-119.992,46.9467
"512",-112.0777,33.4482
"513",-74.07148649,41.49979552
"514",-90.6215,38.796
"515",-77.04757,38.80501
"516",-118.255928,34.0485611
"517",-117.2319379,32.8657387
"518",-82.36722,34.84635
"519",-84.51222525,39.10260613
"520",-98.2267771,32.2071527
"521",-81.6166,34.2777
"522",-96.7977,32.7774
"523",-95.02076,29.40252
"524",-95.02076,29.40252
"525",-77.0915,38.86218
"526",-73.38418,43.02814
"527",-82.5452,28.1883
"528",-81.8094,26.4322
"529",-84.4399406,39.0217283
"530",-87.62535092,41.91409114
"531",-96.7683309,32.849801
"532",-79.17584338,40.61310269
"533",-118.243,34.0522
"534",-96.9319154,33.3413944
"535",-117.12971121,32.72900527
"536",-96.7459,33.0504
"537",-77.4607,38.3032
"538",-78.8748,42.8958
"539",-75.6624122,41.408969
"540",-118.243,34.0522
"541",-74.046402,41.8894691
"542",-84.0883,39.6376
"543",-83.07743996,42.32945828
"544",-122.4190191,37.7485909
"545",-122.40294686,37.71235651
"546",-122.18635,47.61606
"547",-73.73569,40.94889
"548",-98.5,29.4167
"549",-118.27582489,34.08840016
"550",-71.7779,42.2689
"551",-72.7,41.6
"552",-74.06896,40.71547
"553",-78.93822536,37.91618231
"554",-97.63866105,30.13451963
"555",-84.87454,35.16095
